City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,pacific grove,36.6177,-121.9166,64.65,87,75,13.0,US,1700332323
350,alo,7.4178,6.7371,83.79,52,100,1.66,NG,1700332365
351,dalnerechensk,45.9339,133.7225,13.6,92,32,8.48,RU,1700332365
352,carutapera,-1.195,-46.02,85.98,65,100,11.25,BR,1700332367
353,huanren,41.2647,125.3667,25.32,74,88,4.38,CN,1700332368
354,kiama,-34.6833,150.8667,63.57,77,97,10.0,AU,1700332369
355,taro,-8.3862,115.28,73.4,91,46,0.27,ID,1700332369
356,puerto ayora,-0.7393,-90.3518,85.96,86,81,5.01,EC,1700332134
357,bardai,11.65,7.2333,75.2,16,65,9.44,NG,1700332371
358,mukalla,14.5425,49.1242,80.19,77,4,6.08,YE,1700332372
359,qianzhou,28.3167,109.7167,56.8,77,98,1.01,CN,1700332372
360,wasagu,11.3764,5.7954,79.16,18,4,6.69,NG,1700332373
361,sparti,37.0733,22.4297,54.95,74,6,4.68,GR,1700332374
362,igarka,67.4667,86.5833,-0.24,97,100,9.89,RU,1700332375
